"timestamp","brentoilprice","fuelprice","date_column"
"1602190800000","47.98","6.22","2020-10-09"
"1602450000000","47.38","6.22","2020-10-12"
"1602536400000","47.67","6.22","2020-10-13"
"1602622800000","48.06","6.22","2020-10-14"
"1602709200000","48.17","6.22","2020-10-15"
"1602795600000","48.02","6.22","2020-10-16"
"1603054800000","47.96","6.22","2020-10-19"
"1603141200000","48.33","6.22","2020-10-20"
"1603227600000","47.24","6.22","2020-10-21"
"1603314000000","47.62","6.22","2020-10-22"
"1603400400000","47.02","6.22","2020-10-23"
"1603659600000","46.25","6.22","2020-10-26"
"1603746000000","46.81","6.22","2020-10-27"
"1603832400000","45.55","6.22","2020-10-28"
"1603918800000","44.64","6.22","2020-10-29"
"1604005200000","44.98","6.22","2020-10-30"
"1604264400000","46.08","6.22","2020-11-02"
"1604350800000","46.13","6.22","2020-11-03"
"1604437200000","47.06","6.09","2020-11-04"
"1604523600000","46.73","6.09","2020-11-05"
"1604610000000","45.87","6.25","2020-11-06"
"1604869200000","47.44","6.39","2020-11-09"
"1604955600000","47.58","6.39","2020-11-10"
"1605042000000","48","6.39","2020-11-11"
"1605128400000","47.78","6.39","2020-11-12"
"1605214800000","47.11","6.39","2020-11-13"
"1605474000000","47.49","6.39","2020-11-16"
"1605560400000","47.33","6.39","2020-11-17"
"1605646800000","47.51","6.39","2020-11-18"
"1605733200000","47.21","6.39","2020-11-19"
"1605819600000","47.43","6.39","2020-11-20"
"1606078800000","47.74","6.37","2020-11-23"
"1606165200000","48.26","6.37","2020-11-24"
"1606251600000","49.18","6.37","2020-11-25"
"1606338000000","48.78","6.37","2020-11-26"
"1606424400000","49.01","6.37","2020-11-27"
"1606683600000","48.77","6.65","2020-11-30"
"1606770000000","47.81","6.65","2020-12-01"
"1606856400000","47.71","6.65","2020-12-02"
"1606942800000","47.16","6.65","2020-12-03"
"1607029200000","47.83","6.65","2020-12-04"
"1607288400000","47.87","6.65","2020-12-07"
"1607374800000","47.97","6.65","2020-12-08"
"1607461200000","47.82","6.65","2020-12-09"
"1607547600000","48.26","6.65","2020-12-10"
"1607634000000","48.11","6.65","2020-12-11"
"1607893200000","48.63","6.65","2020-12-14"
"1607979600000","49.07","6.65","2020-12-15"
"1608066000000","49.29","6.65","2020-12-16"
"1608152400000","49.87","6.65","2020-12-17"
"1608238800000","50.18","6.65","2020-12-18"
"1608498000000","49.5","6.65","2020-12-21"
"1608584400000","48.98","6.65","2020-12-22"
"1608670800000","49.63","6.65","2020-12-23"
"1608757200000","49.88","6.65","2020-12-24"
