BrentOilPrice,FuelPrice,USD/TRY
64.16,7.34,8.28
64.02,7.34,8.32
64.11,7.34,8.28
64.11,7.34,8.28
64.11,7.34,8.28
63.86,7.34,8.35
63.89,7.34,8.47
63.29,7.34,8.44
64.32,7.34,8.47
64.62,7.34,8.43
64.62,7.34,8.43
64.62,7.34,8.43
64.57,7.34,8.44
65.2,7.34,8.44
65.25,7.37,8.53
64.7,7.37,8.64
63.65,7.37,8.67
63.65,7.37,8.67
63.65,7.37,8.67
64.15,7.37,8.63
64.86,7.37,8.66
65.58,7.37,8.77
65.9,7.37,8.89
67.29,7.37,8.82
67.29,7.37,8.82
67.29,7.37,8.82
67.17,7.37,8.87
67.39,7.37,8.92
67.13,7.37,8.89
68.14,7.37,8.86
69.13,7.37,8.86
69.13,7.37,8.86
69.13,7.37,8.86
69.87,7.37,8.87
68.5,7.37,8.88
69.14,7.37,8.88
69.43,7.6,8.97
70.49,7.6,9
70.49,7.6,9
70.49,7.6,9
70.8,7.6,9.04
70.95,7.6,9.09
71.24,7.6,9.19
71.2,7.6,9.26
70.85,8.01,9.33
70.85,8.01,9.33
70.85,8.01,9.33
70.96,8.24,9.3
71.86,8.24,9.22
70.92,8.26,9.52
70.93,8.26,9.61
71.7,8.26,9.59
71.7,8.26,9.59
71.7,8.26,9.59
71.7,8.26,9.54
70.81,8.26,9.5
70.53,8.26,9.54
70,8.26,9.61
