BrentOilPrice,FuelPrice,USD/TRY
90.53,22.11,15.3194
89.99,22.11,15.3815
91.43,22.14,15.4815
91.85,22.14,15.5477
90.95,22.14,15.8431
88.99,22.14,15.947
90.63,22.14,15.8878
90.24,22.14,15.909
91.18,22.14,15.9244
91.57,22.14,16.0914
92.1,22.14,16.352
93.32,22.14,16.3485
93.78,23.52,16.2228
94.38,24.49,16.3851
93.11,24.51,16.404
93.87,24.51,16.3983
95.2,25.99,16.4697
96.2,25.99,16.4468
96.14,25.99,16.5839
98.01,25.99,16.7637
99.88,27.92,17.1457
100.26,27.92,17.1175
99.13,27.94,17.1143
99.5,27.94,17.2641
98.16,27.94,17.2693
97,27.94,17.2393
98.09,29.2,17.3022
93.84,30.04,17.3308
94.56,30.04,17.3333
94.19,30.04,17.332
92.26,30.04,17.3444
89.12,30.04,17.3522
90.94,30.04,16.9258
92.35,30.04,16.5573
94.87,30.04,16.6725
93.44,27.54,16.633
90.06,26.7,16.6985
90.74,26.7,16.7495
92.04,26.7,16.8113
83.73,26.74,17.0054
83.3,26.74,17.2242
85.84,26.74,17.2662
87.76,24.65,17.2592
88.98,25.5,17.377
84.16,25.5,17.3126
84.75,25.5,17.4251
83.23,25.5,17.44
84.39,25.5,17.3624
87.73,25.5,17.4618
88.14,25.5,17.5586
88.21,25.5,17.6025
86.67,25.5,17.698
85.85,25.5,17.7308
87.65,25.5,17.8005
87.51,24.58,17.8559
89.61,24.58,17.885
89.12,24.6,17.9243
90.67,24.6,17.9196
88.54,24.6,17.8969
89.75,24.6,17.9472
87.76,24.6,17.9361
85.11,24.6,17.92
85.38,24.6,17.9199
87.46,23.45,17.9351
87.18,23.47,17.8939
88.69,22.47,17.848
89.89,23.28,17.9468
88.86,23.28,17.9469
87.32,23.28,17.954
85.84,23.28,17.9322
86.55,23.28,17.9531
87.6,24.05,18.0594
88.15,24.05,18.1012
88.01,25.13,18.0706
89.92,25.13,18.114
90.14,25.13,18.1543
88.38,26.08,18.171
88.12,26.95,18.1639
89.93,26.98,18.182
87.03,26.98,18.1847
86.07,26.98,18.1948
83.75,26.98,18.2093
83.81,26.98,18.1931
84.96,24.55,18.219
84.03,25.29,18.222
80.37,26.06,18.2232
80.85,24.92,18.2336
83.58,24.92,18.2234
84.72,24.92,18.2244
84.06,24.92,18.2509
84.47,24.92,18.2348
81.23,24.92,18.2626
81.24,24.92,18.2586
81.59,24.92,18.2873
80.22,23.16,18.3081
79.68,23.16,18.3288
80.4,23.16,18.34
76.87,23.16,18.4144
74.98,23.16,18.4539
75.83,23.19,18.4439
78.17,23.22,18.51
77.27,23.22,18.503
75.67,23.24,18.5287
78.15,23.24,18.519
80.54,23.24,18.5758
82.42,24.34,18.5692
83.49,25.72,18.5748
85.64,27.25,18.5715
84.43,27.25,18.5731
82.62,28.63,18.5619
81.29,28.63,18.5535
82.97,26.5,18.5527
80.86,26.53,18.49
81.27,27.52,18.5819
80.81,27.52,18.5834
81.86,27.52,18.5827
81.28,27.52,18.5994
81.73,27.52,18.588
81.89,26.48,18.5673
82.78,26.48,18.6063
84.27,26.48,18.6074
85.08,26.48,18.5959
